what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305150330812
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305150330812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150358555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150420093
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1305150423548
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150423839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150427177
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150451354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150749658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1305150749676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150757777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150827430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150838568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150864955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1305150864975
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1305150866981
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1305150870191
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1305150875133
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1305150886178
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305150888298
closed,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1305150888307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150892174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150902877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1305150902891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305150904621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305151003853
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305151018704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305151020511
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1305151020520
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305151027472
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1305151027837
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1305151027950
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1305151027993
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1305151027998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1305151028016
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1305151028016
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1305151031652
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1305151031675
